No of Blocks,Label,Time
3,20-49,0.0138
3,20-49,0.0138
3,0-19,0.0145
3,more than 50,0.0134
3,0-19,0.0144
3,more than 50,0.0142
3,0-19,0.0137
1,0-19,0.01
3,20-49,0.0139
3,0-19,0.0145
3,more than 50,0.0135
3,more than 50,0.0135
3,0-19,0.0138
3,more than 50,0.0138
3,0-19,0.0136
3,more than 50,0.0136
3,more than 50,0.0131
3,20-49,0.0131
3,20-49,0.0137
3,20-49,0.0134
1,more than 50,0.0105
3,more than 50,0.0145
3,20-49,0.0134
3,20-49,0.0143
3,20-49,0.0147
3,20-49,0.014
3,more than 50,0.0136
3,20-49,0.0137
3,20-49,0.0137
3,more than 50,0.0134
2,0-19,0.0125
3,0-19,0.0135
3,0-19,0.014
3,20-49,0.0136
3,0-19,0.0138
3,0-19,0.0138
3,0-19,0.0139
1,0-19,0.0106
3,0-19,0.0136
3,0-19,0.0137
3,0-19,0.0143
1,0-19,0.0106
1,0-19,0.012
3,more than 50,0.0135
3,0-19,0.0139
1,0-19,0.0107
3,20-49,0.0136
1,more than 50,0.0107
3,more than 50,0.014
3,0-19,0.0135
3,more than 50,0.0133
3,20-49,0.0138
3,0-19,0.0139
3,20-49,0.0135
3,more than 50,0.0138
3,20-49,0.0141
3,0-19,0.0137
1,0-19,0.0105
3,20-49,0.0139
3,20-49,0.0142
1,more than 50,0.0105
1,0-19,0.0101
3,0-19,0.0139
3,more than 50,0.0141
1,0-19,0.0105
3,0-19,0.0143
3,more than 50,0.0144
3,20-49,0.0159
1,0-19,0.0133
3,more than 50,0.0138
3,20-49,0.0137
3,20-49,0.0139
3,0-19,0.014
3,more than 50,0.0135
1,0-19,0.0103
3,20-49,0.0146
3,more than 50,0.0152
3,0-19,0.0138
3,20-49,0.0135
3,more than 50,0.0133
3,0-19,0.0138
3,more than 50,0.0135
3,more than 50,0.0135
2,more than 50,0.0126
3,more than 50,0.0136
3,0-19,0.0141
3,20-49,0.0137
3,0-19,0.0138
3,20-49,0.0139
3,more than 50,0.0137
3,more than 50,0.0137
1,0-19,0.011
3,more than 50,0.0133
3,20-49,0.0138
3,20-49,0.014
3,20-49,0.0139
3,0-19,0.0135
3,20-49,0.0137
3,0-19,0.0146
3,20-49,0.0151
3,20-49,0.0148
3,more than 50,0.0146
3,0-19,0.0142
3,more than 50,0.0164
2,more than 50,0.013
3,more than 50,0.0154
1,0-19,0.0115
3,more than 50,0.014
3,more than 50,0.0155
3,0-19,0.0146
3,more than 50,0.0146
3,20-49,0.0139
3,20-49,0.0153
3,more than 50,0.0155
3,20-49,0.0149
3,more than 50,0.0153
3,more than 50,0.0152
3,0-19,0.0152
3,more than 50,0.0159
3,more than 50,0.0162
3,more than 50,0.0146
3,more than 50,0.0156
1,0-19,0.0116
3,20-49,0.0152
3,0-19,0.0141
3,more than 50,0.0139
3,more than 50,0.0143
1,0-19,0.0124
3,0-19,0.0146
2,0-19,0.0133
3,more than 50,0.015
3,0-19,0.0155
3,20-49,0.0142
3,20-49,0.0142
3,more than 50,0.0147
3,20-49,0.0144
3,more than 50,0.0142
3,20-49,0.0141
3,more than 50,0.0154
3,more than 50,0.0146
2,0-19,0.0146
1,0-19,0.0111
3,more than 50,0.0158
1,0-19,0.0112
1,0-19,0.0115
3,more than 50,0.0144
2,more than 50,0.0123
3,more than 50,0.0148
3,20-49,0.0143
3,20-49,0.0138
3,more than 50,0.0135
3,0-19,0.0138
3,more than 50,0.0144
3,0-19,0.0135
3,0-19,0.0139
3,0-19,0.0145
3,0-19,0.0144
3,0-19,0.014
3,0-19,0.014
3,20-49,0.0141
3,0-19,0.0135
3,more than 50,0.0149
3,20-49,0.014
3,20-49,0.0144
1,0-19,0.0105
3,20-49,0.0147
1,0-19,0.0105
3,20-49,0.0136
3,0-19,0.0133
1,0-19,0.0107
3,0-19,0.0148
2,0-19,0.0125
3,20-49,0.014
3,20-49,0.0146
3,20-49,0.0142
3,more than 50,0.0147
3,0-19,0.014
1,0-19,0.0103
3,20-49,0.0143
1,0-19,0.0107
3,more than 50,0.0149
3,0-19,0.0138
3,20-49,0.0135
2,0-19,0.0121
3,more than 50,0.0144
3,20-49,0.0134
2,0-19,0.012
3,more than 50,0.0141
3,20-49,0.0139
3,0-19,0.0145
3,0-19,0.0144
3,0-19,0.0143
3,20-49,0.0138
3,more than 50,0.0138
3,0-19,0.0138
3,more than 50,0.014
3,more than 50,0.0138
3,0-19,0.0138
3,more than 50,0.0142
3,more than 50,0.0134
3,more than 50,0.0132
3,0-19,0.0135
3,20-49,0.0139
3,20-49,0.0142
3,more than 50,0.0141
3,20-49,0.0138
3,0-19,0.0138
3,more than 50,0.0139
3,more than 50,0.0137
3,20-49,0.0139
3,more than 50,0.014
3,20-49,0.0135
3,0-19,0.0139
3,0-19,0.0134
3,0-19,0.0136
3,more than 50,0.0141
3,0-19,0.0137
2,0-19,0.0126
3,0-19,0.0139
3,20-49,0.0135
3,more than 50,0.0134
3,more than 50,0.0154
3,0-19,0.0143
3,more than 50,0.0134
3,20-49,0.0138
3,more than 50,0.0144
3,20-49,0.0148
3,more than 50,0.014
3,0-19,0.0143
3,20-49,0.0139
3,0-19,0.0141
3,20-49,0.0135
3,0-19,0.0144
1,0-19,0.0103
3,20-49,0.014
1,0-19,0.0112
3,20-49,0.014
3,20-49,0.0141
3,0-19,0.0139
3,20-49,0.0137
3,more than 50,0.0139
3,more than 50,0.0138
3,0-19,0.0136
3,more than 50,0.0136
3,20-49,0.0134
3,more than 50,0.0139
3,0-19,0.0135
1,0-19,0.0104
3,more than 50,0.0137
3,more than 50,0.0141
3,0-19,0.0135
3,more than 50,0.0139
3,0-19,0.0145
3,20-49,0.0148
2,0-19,0.0127
3,more than 50,0.0142
3,more than 50,0.014
3,more than 50,0.0138
3,more than 50,0.014
3,more than 50,0.0135
3,more than 50,0.0137
1,0-19,0.0106
3,20-49,0.0139
3,more than 50,0.0142
1,0-19,0.0103
3,0-19,0.0137
3,more than 50,0.0147
1,0-19,0.0107
3,more than 50,0.0142
1,more than 50,0.0111
3,20-49,0.0144
2,0-19,0.0131
3,0-19,0.0133
2,0-19,0.0125
1,0-19,0.0108
1,more than 50,0.0106
3,more than 50,0.0136
1,0-19,0.0106
3,20-49,0.0136
3,0-19,0.0133
3,0-19,0.0144
3,20-49,0.0137
3,20-49,0.0152
1,more than 50,0.0106
3,more than 50,0.0134
3,more than 50,0.0161
3,0-19,0.014
3,more than 50,0.0138
3,0-19,0.0142
3,20-49,0.0137
3,0-19,0.0137
3,0-19,0.0141
3,0-19,0.014
3,20-49,0.0138
3,20-49,0.0138
3,0-19,0.0145
3,more than 50,0.0141
3,20-49,0.0138
3,20-49,0.014
2,0-19,0.0126
3,more than 50,0.0141
3,20-49,0.0142
3,0-19,0.0138
3,more than 50,0.0137
2,more than 50,0.0125
3,0-19,0.0138
3,20-49,0.0134
3,more than 50,0.0139
3,more than 50,0.0133
2,more than 50,0.0119
3,20-49,0.0146
3,more than 50,0.0143
3,20-49,0.0134
3,20-49,0.0139
3,20-49,0.0138
2,0-19,0.0124
1,0-19,0.0109
3,20-49,0.0138
3,20-49,0.0141
2,0-19,0.0121
3,0-19,0.0137
3,20-49,0.0137
1,0-19,0.0107
1,0-19,0.0108
3,0-19,0.0139
3,more than 50,0.0141
3,0-19,0.0135
3,20-49,0.0139
3,0-19,0.0138
3,20-49,0.0135
3,20-49,0.0137
3,20-49,0.0136
3,more than 50,0.0132
3,20-49,0.0144
2,0-19,0.0127
3,20-49,0.0141
1,0-19,0.0102
3,20-49,0.0141
1,more than 50,0.0107
3,0-19,0.0133
3,20-49,0.014
3,20-49,0.0137
3,20-49,0.0137
1,more than 50,0.0126
3,20-49,0.014
3,more than 50,0.014
3,20-49,0.0134
3,more than 50,0.0135
3,more than 50,0.0138
3,more than 50,0.0137
3,20-49,0.0135
3,20-49,0.0136
3,0-19,0.015
3,20-49,0.0138
3,20-49,0.0139
3,0-19,0.0151
3,more than 50,0.0143
3,more than 50,0.0149
3,more than 50,0.0138
2,more than 50,0.0124
1,0-19,0.0105
3,0-19,0.015
3,20-49,0.0136
1,0-19,0.0107
3,20-49,0.0144
3,20-49,0.014
3,20-49,0.0135
3,20-49,0.0139
3,more than 50,0.0135
3,more than 50,0.0132
3,more than 50,0.014
3,20-49,0.0134
3,20-49,0.0138
3,20-49,0.0142
3,more than 50,0.0138
3,20-49,0.0137
3,20-49,0.0139
3,0-19,0.0139
3,more than 50,0.0137
2,more than 50,0.013
3,0-19,0.014
1,0-19,0.0112
3,20-49,0.0139
3,more than 50,0.0138
3,20-49,0.0145
3,more than 50,0.0146
3,more than 50,0.014
3,20-49,0.0133
3,0-19,0.0142
3,more than 50,0.0145
3,20-49,0.0141
3,more than 50,0.0143
3,20-49,0.0139
3,20-49,0.0141
3,more than 50,0.0147
1,0-19,0.0107
3,20-49,0.0211
3,0-19,0.0143
3,more than 50,0.0136
3,more than 50,0.0144
1,0-19,0.0109
3,more than 50,0.0122
3,20-49,0.0161
3,0-19,0.0146
3,more than 50,0.014
3,0-19,0.0141
3,more than 50,0.0134
3,20-49,0.0137
3,more than 50,0.0133
3,20-49,0.0135
3,20-49,0.0135
3,more than 50,0.0139
3,20-49,0.0144
3,20-49,0.0143
3,20-49,0.0132
3,0-19,0.0141
3,20-49,0.0141
3,20-49,0.0143
3,20-49,0.0143
3,more than 50,0.014
3,20-49,0.0139
1,0-19,0.0109
3,0-19,0.0135
1,more than 50,0.0107
3,0-19,0.0144
3,0-19,0.0139
2,0-19,0.0124
3,20-49,0.0139
3,20-49,0.0138
3,20-49,0.0133
3,more than 50,0.0138
3,20-49,0.0145
3,20-49,0.0134
3,20-49,0.0139
3,0-19,0.0135
1,0-19,0.011
3,more than 50,0.0135
3,more than 50,0.0131
3,20-49,0.0137
3,more than 50,0.0136
3,20-49,0.0131
3,0-19,0.0143
3,0-19,0.0138
3,more than 50,0.0138
3,20-49,0.014
3,20-49,0.0147
3,20-49,0.0142
3,20-49,0.0141
3,20-49,0.0145
3,more than 50,0.0141
3,20-49,0.0133
1,0-19,0.0104
3,20-49,0.014
3,20-49,0.0133
3,20-49,0.0141
3,0-19,0.0141
3,more than 50,0.0153
3,20-49,0.014
3,more than 50,0.0138
3,more than 50,0.0143
1,0-19,0.0113
3,20-49,0.0152
3,20-49,0.0161
3,more than 50,0.0142
3,more than 50,0.0136
3,20-49,0.0139
3,20-49,0.0143
3,0-19,0.0142
3,20-49,0.0134
3,more than 50,0.0137
2,more than 50,0.0122
3,20-49,0.0141
3,0-19,0.014
3,0-19,0.0139
3,20-49,0.0135
3,0-19,0.0137
1,more than 50,0.0102
3,more than 50,0.0131
3,more than 50,0.0147
3,0-19,0.014
3,more than 50,0.0139
3,20-49,0.0143
3,more than 50,0.0133
3,more than 50,0.0141
3,20-49,0.0143
3,20-49,0.0143
3,more than 50,0.0137
3,more than 50,0.0134
1,0-19,0.0109
3,more than 50,0.0149
3,more than 50,0.0137
1,0-19,0.0102
3,0-19,0.0136
3,0-19,0.0141
3,20-49,0.0136
3,0-19,0.0137
3,more than 50,0.014
1,0-19,0.0109
3,more than 50,0.0135
1,0-19,0.0107
1,0-19,0.0105
3,0-19,0.0134
3,20-49,0.014
1,0-19,0.0109
3,more than 50,0.0141
2,0-19,0.0131
3,20-49,0.0137
1,0-19,0.0107
3,20-49,0.0144
3,20-49,0.0137
3,more than 50,0.0134
3,0-19,0.0135
3,20-49,0.0138
3,20-49,0.0136
3,20-49,0.0136
3,20-49,0.0137
3,20-49,0.0138
3,0-19,0.0141
1,0-19,0.0103
3,20-49,0.0134
3,0-19,0.0139
3,20-49,0.0137
1,0-19,0.0109
3,more than 50,0.0161
2,20-49,0.0124
3,20-49,0.0141
1,0-19,0.0109
3,more than 50,0.0143
1,0-19,0.0103
3,20-49,0.0148
3,20-49,0.0139
3,0-19,0.0135
3,more than 50,0.0136
3,20-49,0.0135
3,more than 50,0.0134
3,more than 50,0.0139
3,more than 50,0.0136
3,more than 50,0.013
1,0-19,0.0105
3,0-19,0.0134
3,0-19,0.0138
3,20-49,0.0143
3,more than 50,0.0142
1,0-19,0.0102
3,0-19,0.0144
3,20-49,0.0142
3,more than 50,0.0139
1,0-19,0.0106
3,0-19,0.0135
3,20-49,0.014
3,0-19,0.0134
3,0-19,0.0139
3,20-49,0.0142
1,more than 50,0.0116
3,20-49,0.0146
1,0-19,0.0109
3,more than 50,0.014
3,20-49,0.0135
3,more than 50,0.0146
3,more than 50,0.0136
3,0-19,0.0138
1,0-19,0.0103
3,20-49,0.0136
3,0-19,0.0135
2,0-19,0.0123
3,more than 50,0.0145
2,more than 50,0.012
1,more than 50,0.0113
1,0-19,0.0107
3,0-19,0.0135
3,more than 50,0.0145
1,0-19,0.0106
3,20-49,0.0137
1,0-19,0.0109
3,more than 50,0.0138
1,more than 50,0.0106
3,20-49,0.0134
3,more than 50,0.0143
3,more than 50,0.0136
3,more than 50,0.0138
3,0-19,0.0136
3,more than 50,0.0136
3,more than 50,0.014
3,more than 50,0.0133
3,20-49,0.014
3,20-49,0.016
3,0-19,0.0138
1,0-19,0.0102
3,0-19,0.0138
3,20-49,0.0139
3,more than 50,0.0133
3,more than 50,0.0142
3,0-19,0.0138
3,more than 50,0.0143
3,0-19,0.0138
3,20-49,0.0139
3,20-49,0.014
3,more than 50,0.014
3,20-49,0.0143
3,0-19,0.0135
2,0-19,0.0127
3,20-49,0.0144
3,20-49,0.0142
3,20-49,0.0144
3,0-19,0.0153
3,20-49,0.0132
2,20-49,0.0125
3,more than 50,0.0133
3,0-19,0.0132
3,0-19,0.0134
3,20-49,0.0137
3,0-19,0.0135
3,0-19,0.0151
3,more than 50,0.0137
3,20-49,0.0137
3,more than 50,0.0147
2,0-19,0.0123
3,0-19,0.0133
1,0-19,0.0107
3,20-49,0.0139
3,more than 50,0.0139
3,more than 50,0.0144
3,20-49,0.0161
3,0-19,0.0158
3,0-19,0.0186
1,0-19,0.0129
3,0-19,0.0141
1,0-19,0.0107
3,0-19,0.0141
1,0-19,0.0133
3,more than 50,0.0155
3,more than 50,0.0149
3,more than 50,0.014
3,more than 50,0.0136
3,20-49,0.0157
3,more than 50,0.0151
3,20-49,0.0139
3,0-19,0.014
3,0-19,0.0146
3,more than 50,0.0137
3,20-49,0.0139
3,more than 50,0.0135
3,20-49,0.0142
3,20-49,0.0152
3,20-49,0.0139
1,0-19,0.0104
3,20-49,0.0141
3,20-49,0.0137
3,0-19,0.0137
3,20-49,0.014
3,20-49,0.0136
3,more than 50,0.0139
3,more than 50,0.0144
3,0-19,0.0139
3,20-49,0.0137
1,more than 50,0.0108
1,0-19,0.0105
3,0-19,0.0141
3,more than 50,0.0143
3,0-19,0.0146
3,20-49,0.0146
3,20-49,0.0141
3,0-19,0.0141
3,0-19,0.0141
3,0-19,0.0143
3,20-49,0.0139
3,0-19,0.0137
3,20-49,0.0136
3,0-19,0.0138
1,0-19,0.0105
3,0-19,0.0145
3,more than 50,0.0145
3,0-19,0.0139
3,more than 50,0.0139
3,20-49,0.0151
3,20-49,0.0138
3,20-49,0.014
3,20-49,0.0139
1,0-19,0.0116
3,0-19,0.0138
3,more than 50,0.0141
3,more than 50,0.014
3,0-19,0.0143
3,20-49,0.0142
3,more than 50,0.0143
3,20-49,0.0139
3,more than 50,0.014
3,0-19,0.0146
3,0-19,0.014
1,0-19,0.0104
3,0-19,0.0146
3,20-49,0.0143
3,20-49,0.014
3,20-49,0.0133
1,0-19,0.0103
3,more than 50,0.0138
3,more than 50,0.0135
3,20-49,0.0138
3,20-49,0.0138
3,0-19,0.0138
3,0-19,0.0139
3,0-19,0.0139
3,0-19,0.0129
3,more than 50,0.0146
3,more than 50,0.0142
3,0-19,0.0142
3,20-49,0.0143
1,0-19,0.0107
3,20-49,0.0137
3,0-19,0.0142
3,more than 50,0.0134
3,more than 50,0.0138
3,20-49,0.014
3,more than 50,0.0137
3,20-49,0.0136
3,0-19,0.0139
3,0-19,0.0138
3,20-49,0.0136
3,more than 50,0.0141
3,0-19,0.0133
3,20-49,0.0141
3,20-49,0.0136
3,0-19,0.0134
3,0-19,0.014
3,0-19,0.0138
3,0-19,0.0138
3,more than 50,0.0133
3,20-49,0.0133
3,more than 50,0.0136
3,20-49,0.0137
3,more than 50,0.0138
3,0-19,0.0139
3,20-49,0.0151
3,0-19,0.0142
3,more than 50,0.0134
3,20-49,0.0146
3,0-19,0.0138
3,0-19,0.0142
2,more than 50,0.0127
3,more than 50,0.0139
3,0-19,0.0136
3,more than 50,0.0142
3,more than 50,0.0132
3,20-49,0.0132
3,0-19,0.0136
3,0-19,0.014
3,20-49,0.0158
3,more than 50,0.0135
3,0-19,0.0134
1,0-19,0.0109
3,20-49,0.014
3,20-49,0.0135
3,20-49,0.0142
3,more than 50,0.014
3,more than 50,0.0138
3,more than 50,0.0144
3,0-19,0.0143
3,0-19,0.014
3,0-19,0.014
3,20-49,0.0133
3,0-19,0.0141
3,more than 50,0.0136
3,20-49,0.0142
3,20-49,0.0147
3,20-49,0.0141
3,more than 50,0.0138
3,more than 50,0.0141
3,0-19,0.0137
3,more than 50,0.014
3,0-19,0.0133
1,0-19,0.01
1,0-19,0.0106
3,more than 50,0.0136
3,more than 50,0.0136
1,20-49,0.0105
3,more than 50,0.014
3,more than 50,0.0139
2,0-19,0.0129
3,20-49,0.0146
3,0-19,0.014
3,20-49,0.0143
3,20-49,0.0138
3,20-49,0.0146
1,more than 50,0.0108
3,0-19,0.0134
3,0-19,0.0146
3,more than 50,0.0138
3,20-49,0.014
3,more than 50,0.0135
3,20-49,0.0136
2,0-19,0.0121
3,0-19,0.0134
1,0-19,0.0105
3,0-19,0.0138
3,0-19,0.0134
3,more than 50,0.0142
3,20-49,0.0136
1,more than 50,0.0105
3,20-49,0.0135
3,0-19,0.0138
3,more than 50,0.0139
3,more than 50,0.0135
3,0-19,0.0134
3,0-19,0.0143
1,0-19,0.0106
3,more than 50,0.0137
2,0-19,0.0122
3,more than 50,0.0134
3,20-49,0.0135
1,more than 50,0.0106
1,0-19,0.0102
3,more than 50,0.0139
3,more than 50,0.0141
3,0-19,0.0137
3,0-19,0.0139
2,0-19,0.0137
3,20-49,0.0143
3,more than 50,0.0137
3,more than 50,0.014
3,more than 50,0.0133
3,20-49,0.0142
3,20-49,0.0135
1,more than 50,0.0108
3,20-49,0.0138
3,more than 50,0.0149
1,0-19,0.0106
3,0-19,0.0135
3,0-19,0.0135
3,more than 50,0.0136
3,more than 50,0.0136
3,20-49,0.0139
3,0-19,0.0143
3,more than 50,0.0138
3,20-49,0.0138
3,more than 50,0.0141
3,0-19,0.0137
3,0-19,0.0134
3,20-49,0.014
2,0-19,0.0123
3,20-49,0.014
3,20-49,0.0136
1,0-19,0.0105
3,more than 50,0.0135
3,more than 50,0.0141
3,more than 50,0.0137
3,20-49,0.0136
3,0-19,0.0132
3,20-49,0.0141
3,0-19,0.014
3,20-49,0.0139
3,20-49,0.0139
3,20-49,0.0142
1,more than 50,0.0107
3,0-19,0.0142
2,more than 50,0.0128
3,20-49,0.0138
3,more than 50,0.0144
3,20-49,0.0137
3,20-49,0.0147
3,20-49,0.0141
3,0-19,0.0136
2,0-19,0.0126
3,20-49,0.0135
1,more than 50,0.0102
2,20-49,0.0121
1,0-19,0.0113
3,0-19,0.0144
1,more than 50,0.0102
3,more than 50,0.0138
3,0-19,0.0142
1,0-19,0.0105
3,more than 50,0.0141
3,more than 50,0.0135
1,0-19,0.0104
3,20-49,0.0147
3,0-19,0.0141
3,20-49,0.0133
3,more than 50,0.0139
1,more than 50,0.0103
3,0-19,0.015
3,0-19,0.0147
3,20-49,0.0139
3,20-49,0.0136
3,more than 50,0.0141
3,more than 50,0.0139
3,20-49,0.0157
3,0-19,0.0145
1,more than 50,0.0107
1,0-19,0.0115
1,0-19,0.0109
3,0-19,0.0145
1,more than 50,0.0107
3,20-49,0.0138
3,0-19,0.0135
3,0-19,0.0133
3,0-19,0.0145
1,0-19,0.0106
3,more than 50,0.014
1,more than 50,0.0108
3,20-49,0.0139
3,20-49,0.0137
3,more than 50,0.0135
3,20-49,0.0136
3,0-19,0.0147
3,more than 50,0.0138
3,more than 50,0.0137
1,0-19,0.0112
3,20-49,0.0137
3,more than 50,0.0137
3,more than 50,0.0136
3,more than 50,0.0136
3,more than 50,0.0139
3,more than 50,0.0149
3,more than 50,0.0137
1,0-19,0.0111
3,20-49,0.0143
3,20-49,0.014
3,20-49,0.0139
3,more than 50,0.014
3,more than 50,0.0139
3,more than 50,0.0143
3,more than 50,0.0139
3,0-19,0.0136
1,0-19,0.0106
3,20-49,0.0135
3,20-49,0.0156
3,20-49,0.0144
3,20-49,0.0133
3,20-49,0.0138
3,20-49,0.0137
3,more than 50,0.0132
3,0-19,0.0139
3,0-19,0.013
3,20-49,0.0135
3,20-49,0.0139
3,0-19,0.0135
3,20-49,0.0137
3,20-49,0.014
3,0-19,0.0142
3,0-19,0.014
3,more than 50,0.0144
1,0-19,0.0107
3,more than 50,0.0145
1,more than 50,0.0112
3,more than 50,0.0141
3,more than 50,0.0139
3,0-19,0.0151
3,20-49,0.0135
3,0-19,0.0139
3,more than 50,0.0145
3,20-49,0.0137
2,more than 50,0.0124
3,20-49,0.0137
3,20-49,0.0135
3,20-49,0.0141
3,20-49,0.0136
3,more than 50,0.0139
3,more than 50,0.0142
3,more than 50,0.0145
3,20-49,0.0138
3,0-19,0.0138
3,20-49,0.0134
3,20-49,0.0138
3,0-19,0.0134
3,20-49,0.0137
3,more than 50,0.0144
3,more than 50,0.0141
3,0-19,0.0141
3,20-49,0.0133
3,20-49,0.014
3,more than 50,0.0136
3,more than 50,0.0137
3,more than 50,0.014
3,20-49,0.0139
3,0-19,0.0138
3,20-49,0.0136
3,more than 50,0.0138
3,0-19,0.0137
3,more than 50,0.0143
3,20-49,0.0135
3,more than 50,0.0136
3,20-49,0.0131
3,20-49,0.0146
3,more than 50,0.0135
3,more than 50,0.014
3,20-49,0.0139
3,20-49,0.0139
3,0-19,0.0133
1,0-19,0.0099
3,20-49,0.0142
3,0-19,0.0135
3,more than 50,0.0136
3,0-19,0.0139
3,0-19,0.0137
3,more than 50,0.0135
3,more than 50,0.0139
3,20-49,0.0132
3,0-19,0.0133
3,more than 50,0.0138
3,more than 50,0.0138
3,20-49,0.0137
3,more than 50,0.0137
3,more than 50,0.0135
3,0-19,0.0141
3,20-49,0.0144
1,more than 50,0.0108
3,0-19,0.0149
1,0-19,0.0106
1,0-19,0.0105
3,20-49,0.0144
3,20-49,0.0144
1,0-19,0.0103
3,more than 50,0.0144
3,0-19,0.0137
3,0-19,0.0137
3,0-19,0.0136
3,20-49,0.0135
3,0-19,0.0142
3,more than 50,0.0139
3,20-49,0.0138
1,0-19,0.0106
3,more than 50,0.0131
3,0-19,0.0145
3,0-19,0.0136
3,0-19,0.0139
3,0-19,0.0138
3,20-49,0.014
3,20-49,0.0139
3,20-49,0.0142
3,20-49,0.014
3,20-49,0.0134
3,0-19,0.0141
3,0-19,0.0139
3,0-19,0.0135
3,20-49,0.0144
3,20-49,0.0141
3,0-19,0.0137
3,20-49,0.0139
3,20-49,0.0137
3,0-19,0.0133
3,0-19,0.0141
1,0-19,0.0101
3,more than 50,0.0135
3,0-19,0.0149
3,more than 50,0.0135
1,more than 50,0.0107
1,more than 50,0.011
3,20-49,0.0138
3,0-19,0.0137
3,more than 50,0.0138
3,0-19,0.0138
3,20-49,0.0137
3,20-49,0.0137
3,more than 50,0.0137
3,20-49,0.0133
3,20-49,0.0147
3,20-49,0.0174
3,more than 50,0.0142
3,20-49,0.0145
3,more than 50,0.0146
3,0-19,0.0148
1,more than 50,0.011
3,more than 50,0.0141
3,0-19,0.0152
3,more than 50,0.0138
3,more than 50,0.0144
3,20-49,0.0178
3,more than 50,0.0142
1,0-19,0.0107
3,0-19,0.0147
1,0-19,0.0111
3,20-49,0.0139
1,more than 50,0.0109
3,20-49,0.0143
1,0-19,0.0109
1,0-19,0.011
3,0-19,0.0162
3,more than 50,0.0165
3,more than 50,0.0147
1,more than 50,0.0111
2,more than 50,0.0131
1,0-19,0.0113
3,more than 50,0.0146
1,0-19,0.0185
3,0-19,0.0143
3,20-49,0.0151
3,more than 50,0.0147
3,0-19,0.0152
3,20-49,0.0146
3,20-49,0.0147
1,0-19,0.0111
3,more than 50,0.0143
3,20-49,0.014
3,20-49,0.0146
3,0-19,0.0149
3,0-19,0.0144
3,20-49,0.0144
3,20-49,0.0147
3,20-49,0.0148
3,more than 50,0.0154
3,20-49,0.0156
3,20-49,0.0141
3,more than 50,0.0152
1,0-19,0.0105
3,0-19,0.0143
3,20-49,0.0139
3,0-19,0.014
3,20-49,0.0137
2,0-19,0.0127
3,0-19,0.0138
3,more than 50,0.0138
3,more than 50,0.0134
3,20-49,0.0136
1,0-19,0.0107
3,20-49,0.0131
3,20-49,0.0144
2,more than 50,0.0125
3,0-19,0.0137
3,more than 50,0.0135
3,20-49,0.0139
3,20-49,0.0135
3,0-19,0.0139
3,more than 50,0.0132
3,more than 50,0.0135
1,0-19,0.0109
3,20-49,0.0161
3,more than 50,0.0135
3,20-49,0.0134
3,more than 50,0.0149
3,20-49,0.0136
3,0-19,0.014
3,20-49,0.0141
3,20-49,0.014
3,more than 50,0.0135
3,more than 50,0.014
3,more than 50,0.0134
3,more than 50,0.0136
3,more than 50,0.0139
3,more than 50,0.0136
3,more than 50,0.0142
3,20-49,0.0138
3,20-49,0.0134
3,20-49,0.0135
3,20-49,0.0138
3,0-19,0.0134
3,20-49,0.0142
3,20-49,0.0143
3,0-19,0.014
3,20-49,0.0141
3,20-49,0.0143
3,0-19,0.0138
1,0-19,0.0106
3,0-19,0.014
3,20-49,0.0138
3,more than 50,0.0133
3,0-19,0.0153
3,0-19,0.014
3,more than 50,0.0141
1,0-19,0.0111
3,more than 50,0.0138
3,20-49,0.0139
3,more than 50,0.0142
3,more than 50,0.0137
1,0-19,0.0106
3,20-49,0.0139
3,more than 50,0.0141
3,20-49,0.0142
3,more than 50,0.0134
3,20-49,0.0135
3,more than 50,0.0136
3,20-49,0.0138
3,20-49,0.0145
3,20-49,0.0138
3,more than 50,0.0142
1,more than 50,0.0106
1,0-19,0.0107
3,0-19,0.0135
3,20-49,0.0137
3,0-19,0.0137
3,more than 50,0.0138
3,20-49,0.0136
3,0-19,0.014
2,0-19,0.0122
3,20-49,0.014
3,20-49,0.0167
3,20-49,0.0156
3,more than 50,0.0141
3,20-49,0.0167
3,20-49,0.0137
3,20-49,0.0142
3,more than 50,0.015
3,more than 50,0.0145
3,20-49,0.0138
3,0-19,0.0143
3,20-49,0.0135
3,0-19,0.0144
2,more than 50,0.0127
3,0-19,0.014
3,more than 50,0.0143
3,more than 50,0.0137
3,more than 50,0.0143
3,more than 50,0.0142
3,20-49,0.0139
3,more than 50,0.0136
3,0-19,0.0133
3,more than 50,0.0136
3,20-49,0.014
1,more than 50,0.01
1,more than 50,0.0102
3,20-49,0.0138
3,more than 50,0.0142
3,20-49,0.0137
3,20-49,0.0139
3,20-49,0.0137
3,more than 50,0.0141
3,20-49,0.0138
3,0-19,0.0136
3,20-49,0.0144
3,20-49,0.0144
3,more than 50,0.0135
1,0-19,0.0112
3,20-49,0.0141
3,20-49,0.0131
3,20-49,0.0136
3,0-19,0.0133
3,more than 50,0.0181
3,more than 50,0.0143
3,0-19,0.0138
1,0-19,0.0108
3,20-49,0.0135
3,20-49,0.0145
3,20-49,0.0137
3,20-49,0.0134
3,more than 50,0.0136
3,20-49,0.0136
3,20-49,0.0137
3,more than 50,0.0144
3,0-19,0.0135
3,more than 50,0.0137
3,more than 50,0.0138
3,more than 50,0.0142
3,20-49,0.0136
1,more than 50,0.0103
3,more than 50,0.0134
